평가 모드: KDPII gold 3-way (data\kdpii\test.json)
Fetching 5 files:   0%|          | 0/5 [00:00<?, ?it/s]Fetching 5 files: 100%|██████████| 5/5 [00:00<00:00, 29620.79it/s]
KDPII 평가 (4891 문서) — gold = 실제 인간 라벨
GT model used as third detector:  (real human labels) (openai/privacy-filter)

라벨               k-pii(TP/FP/FN/F1)            HF(TP/FP/FN/F1)             
---------------------------------------------------------------------------
ACCOUNT            61/  11/  16 F1=0.819    48/ 134/  37 F1=0.360
ADDRESS            69/  13/ 100 F1=0.550    19/  68/ 141 F1=0.154
AGE                50/   6/   6 F1=0.893     0/   0/  56 F1=0.000
CARD                4/   0/  74 F1=0.098     0/   0/  78 F1=0.000
DRIVER_LICENSE      5/   0/  12 F1=0.455     0/   0/  17 F1=0.000
DT_BIRTH           34/   1/  36 F1=0.648     6/  21/  65 F1=0.122
EDUCATION          56/  20/  33 F1=0.679     0/   0/  89 F1=0.000
EMAIL              81/   0/   0 F1=1.000    81/   1/   0 F1=0.994
FRN                 9/   0/   0 F1=1.000     0/   0/   9 F1=0.000
HEIGHT             58/   1/   7 F1=0.935     0/   0/  65 F1=0.000
IP                 11/   0/   0 F1=1.000     0/   0/  11 F1=0.000
MAJOR              40/   0/  25 F1=0.762     0/   0/  65 F1=0.000
PASSPORT           15/   0/   3 F1=0.909     0/   0/  18 F1=0.000
PERSON             21/ 198/  71 F1=0.135    29/ 273/  63 F1=0.147
PHONE             124/   2/   0 F1=0.992    97/ 121/  29 F1=0.564
POSITION           65/  40/  58 F1=0.570     0/   0/ 123 F1=0.000
RRN                18/   0/   0 F1=1.000     0/   0/  18 F1=0.000
URL                38/   0/   1 F1=0.987    23/  12/  18 F1=0.605
VEHICLE            50/   0/   2 F1=0.980     0/   0/  52 F1=0.000
WEIGHT             50/   5/   0 F1=0.952     0/   0/  49 F1=0.000
---------------------------------------------------------------------------
(micro)           859/ 297/ 444 F1=0.699   303/ 630/1003 F1=0.271
